,episode,end_day,epsilon,mean_reward,mean_loss,max_berries,mean_berries,max_berries_consumed,mean_berries_consumed,gini_berries_consumed,mean_berries_thrown,max_health,mean_health,median_health,variance_health,deceased,num_emerged_norms
0,1,50,0,17.885000000000005,0,1.0,0.25510204081632654,15.0,5.326530612244898,0.1477272727272727,0.7653061224489796,4.900000000000001,1.4959183673469385,0.8000000000000007,1.6762909471480885,0,4
0,2,50,0,15.775000000000006,0,1.0,0.24102564102564103,15.0,5.482051282051282,0.17682926829268286,0.3641025641025641,5.100000000000001,1.597435897435897,1.1999999999999997,1.6068490615913287,1,6
0,3,50,0,15.070000000000004,0,1.0,0.2275132275132275,12.0,5.058201058201059,0.1578947368421053,1.4497354497354498,3.4999999999999982,1.3989417989417985,1.0,0.9552116402116388,1,6
0,4,50,0,13.485000000000005,0,2.0,0.22012578616352202,14.0,4.89937106918239,0.328125,0.2389937106918239,4.199999999999997,1.3062893081760998,0.9,1.048820953745719,1,3
0,5,50,0,14.037500000000005,0,2.0,0.3389830508474576,12.0,5.112994350282486,0.20833333333333326,1.2598870056497176,3.3999999999999972,1.4937853107344625,1.4999999999999996,0.7181997945557256,1,8
0,6,50,0,14.440000000000005,0,1.0,0.25925925925925924,13.0,4.597883597883598,0.18055555555555558,0.17989417989417988,3.999999999999998,1.1227513227513226,0.7000000000000006,0.9634689857030267,1,5
0,7,50,0,12.725000000000007,0,1.0,0.21052631578947367,15.0,5.099415204678363,0.3125,0.8011695906432749,5.1000000000000005,1.488304093567251,1.0999999999999996,1.5816271069831436,1,5
0,8,50,0,13.500000000000005,0,1.0,0.2568306010928962,14.0,4.934426229508197,0.23529411764705888,0.09289617486338798,4.499999999999999,1.3644808743169394,0.9999999999999979,1.4136215696871421,1,3
0,9,50,0,15.200000000000005,0,1.0,0.22404371584699453,13.0,4.53551912568306,0.20945945945945943,0.18579234972677597,3.699999999999997,1.1251366120218573,0.8000000000000007,0.7343097339818633,1,5
0,10,50,0,12.950000000000006,0,1.0,0.2698412698412698,15.0,5.291005291005291,0.22142857142857153,0.91005291005291,5.400000000000002,1.5386243386243388,0.8999999999999999,2.3912129911066105,2,7
0,11,50,0,15.975000000000005,0,1.0,0.25,14.0,4.705,0.11842105263157898,0.325,4.499999999999999,1.073,0.7000000000000005,0.9793678391959789,0,3
0,12,50,0,17.297500000000007,0,2.0,0.3,13.0,4.945,0.1071428571428572,0.29,3.5999999999999974,1.2169999999999996,1.0000000000000002,0.6346844221105514,0,5
0,13,50,0,15.450000000000006,0,1.0,0.25925925925925924,14.0,5.248677248677248,0.19871794871794868,0.10582010582010581,4.299999999999999,1.5132275132275126,0.8000000000000007,1.5684943149836745,1,1
0,14,50,0,14.085000000000004,0,1.0,0.24293785310734464,14.0,5.112994350282486,0.23611111111111116,1.231638418079096,4.199999999999997,1.4937853107344625,1.2999999999999994,0.9595634309193616,1,6
0,15,50,0,13.625000000000004,0,1.0,0.3076923076923077,16.0,5.21978021978022,0.25,0.5439560439560439,5.400000000000001,1.5401098901098895,1.0999999999999988,1.7905922530508156,1,4
0,16,50,0,16.497500000000006,0,1.0,0.24,12.0,5.055,0.10000000000000009,0.84,3.199999999999997,1.2829999999999995,0.8500000000000005,0.8764934673366815,0,3
0,17,50,0,11.925000000000002,0,1.0,0.23270440251572327,13.0,4.968553459119497,0.3362068965517241,0.3710691823899371,3.7999999999999976,1.347798742138364,1.0,0.9561818326566347,1,6
0,18,50,0,15.372500000000008,0,2.0,0.25925925925925924,17.0,5.333333333333333,0.23684210526315796,0.7619047619047619,6.100000000000004,1.5640211640211639,0.899999999999998,2.3356135314645963,1,2
0,19,50,0,16.745000000000005,0,1.0,0.245,13.0,5.3,0.11904761904761907,1.22,4.199999999999998,1.43,0.8000000000000003,1.5363819095477371,0,3
0,20,50,0,16.275000000000006,0,1.0,0.275,15.0,4.795,0.1625000000000001,0.4,4.800000000000002,1.127,0.7000000000000003,1.154242211055276,0,3
0,21,50,0,17.035000000000007,0,1.0,0.27692307692307694,16.0,5.333333333333333,0.19186046511627897,0.7076923076923077,5.400000000000001,1.5082051282051276,0.9,1.7319941845096467,1,5
0,22,50,0,15.150000000000006,0,1.0,0.25396825396825395,13.0,4.978835978835979,0.17105263157894735,0.7354497354497355,3.799999999999997,1.3513227513227508,0.9999999999999997,0.9668732410221756,1,7
0,23,50,0,11.840000000000003,0,1.0,0.225,13.0,4.45,0.3145161290322581,0.29375,3.599999999999997,1.2456249999999993,1.0,0.7133140723270425,2,13
0,24,50,0,15.910000000000004,0,1.0,0.23,16.0,5.225,0.15243902439024382,1.51,5.4,1.3849999999999993,1.0,1.2301256281407027,0,4
0,25,50,0,16.645000000000007,0,2.0,0.28,16.0,5.61,0.15243902439024382,0.645,5.6000000000000005,1.6159999999999994,1.2999999999999976,1.5157226130653259,0,0
0,26,50,0,17.250000000000007,0,1.0,0.275,15.0,5.39,0.13095238095238093,0.45,4.800000000000002,1.4839999999999995,1.1999999999999997,1.1900944723618085,0,3
0,27,50,0,14.785000000000004,0,1.0,0.2804232804232804,14.0,5.1798941798941796,0.18421052631578938,0.4603174603174603,4.599999999999999,1.4719576719576712,1.2999999999999994,1.2717094450073156,1,4
0,28,50,0,15.472500000000007,0,1.0,0.23,17.0,5.445,0.19871794871794868,1.515,6.200000000000002,1.5169999999999992,0.9999999999999992,2.054784924623116,1,6
0,29,50,0,14.080000000000004,0,1.0,0.21311475409836064,14.0,4.836065573770492,0.20833333333333326,1.0382513661202186,4.399999999999999,1.3054644808743168,0.8999999999999989,1.3300798654897,1,4
0,30,50,0,16.450000000000006,0,1.0,0.27,13.0,5.065,0.11250000000000004,0.25,3.699999999999997,1.2889999999999993,1.0999999999999999,0.7916371859296465,0,5
0,31,50,0,16.475000000000005,0,1.0,0.255,14.0,5.185,0.12804878048780477,0.925,4.3999999999999995,1.3609999999999998,0.7000000000000008,1.415757788944722,0,2
0,32,50,0,12.125000000000004,0,2.0,0.32075471698113206,14.0,4.8427672955974845,0.35,0.8050314465408805,4.399999999999998,1.2723270440251568,0.7000000000000003,1.391381259453863,1,1
0,33,50,0,15.360000000000007,0,1.0,0.26153846153846155,15.0,5.138461538461539,0.1858974358974359,0.7538461538461538,5.1,1.3912820512820507,1.0,1.431315358181336,1,8
0,34,50,0,15.420000000000009,0,2.0,0.265,17.0,5.295,0.1875,1.13,6.0,1.4269999999999994,0.8999999999999998,1.790423115577888,1,2
0,35,50,0,14.427500000000004,0,1.0,0.2459016393442623,13.0,5.4316939890710385,0.18243243243243246,0.7759562841530054,3.8999999999999972,1.662841530054644,1.6999999999999988,1.0157545187053367,1,8
0,36,50,0,12.847500000000005,0,1.0,0.2222222222222222,14.0,4.941520467836257,0.2803030303030303,0.5964912280701754,4.299999999999998,1.3935672514619875,1.2999999999999967,0.9357819057447527,1,5
0,37,50,0,14.015000000000004,0,1.0,0.29239766081871343,15.0,5.625730994152047,0.277027027027027,0.8304093567251462,4.800000000000004,1.8040935672514617,1.5000000000000004,1.8805125558995528,1,0
